station_abbr;reference_timestamp;tre200m0;tre200mx;tre200mn;tre005m0;tre005mn;tre005mx;ure200m0;pva200m0;prestam0;pp0qffm0;ppz850m0;ppz700m0;pp0qnhm0;fkl010m0;fkl010m1;fu3010m0;fu3010m1;rre150m0;gre000m0;oli000m0;olo000m0;osr000m0;sre000m0;sremaxmv;erefaom0;xcd000m0;xno000m0;xno012m0;rreetsm0
ILZ;01.01.1892 00:00;;;;;;;;;;;;;;;;;;53.5;;;;;;;;;;;
ILZ;01.02.1892 00:00;;;;;;;;;;;;;;;;;;117.8;;;;;;;;;;;
ILZ;01.03.1892 00:00;;;;;;;;;;;;;;;;;;27.3;;;;;;;;;;;
ILZ;01.04.1892 00:00;;;;;;;;;;;;;;;;;;50.5;;;;;;;;;;;
ILZ;01.05.1892 00:00;;;;;;;;;;;;;;;;;;14.8;;;;;;;;;;;
ILZ;01.06.1892 00:00;;;;;;;;;;;;;;;;;;134.9;;;;;;;;;;;
ILZ;01.07.1892 00:00;;;;;;;;;;;;;;;;;;78.7;;;;;;;;;;;
ILZ;01.08.1892 00:00;;;;;;;;;;;;;;;;;;36.4;;;;;;;;;;;
ILZ;01.09.1892 00:00;;;;;;;;;;;;;;;;;;98;;;;;;;;;;;
ILZ;01.10.1892 00:00;;;;;;;;;;;;;;;;;;110.8;;;;;;;;;;;
ILZ;01.11.1892 00:00;;;;;;;;;;;;;;;;;;12.9;;;;;;;;;;;
ILZ;01.12.1892 00:00;;;;;;;;;;;;;;;;;;18.8;;;;;;;;;;;
ILZ;01.01.1893 00:00;;;;;;;;;;;;;;;;;;60.8;;;;;;;;;;;
ILZ;01.02.1893 00:00;;;;;;;;;;;;;;;;;;79.8;;;;;;;;;;;
ILZ;01.03.1893 00:00;;;;;;;;;;;;;;;;;;20.8;;;;;;;;;;;
ILZ;01.04.1893 00:00;;;;;;;;;;;;;;;;;;7.4;;;;;;;;;;;
ILZ;01.05.1893 00:00;;;;;;;;;;;;;;;;;;36.4;;;;;;;;;;;
ILZ;01.06.1893 00:00;;;;;;;;;;;;;;;;;;97.3;;;;;;;;;;;
ILZ;01.07.1893 00:00;;;;;;;;;;;;;;;;;;120.8;;;;;;;;;;;
ILZ;01.08.1893 00:00;;;;;;;;;;;;;;;;;;22.5;;;;;;;;;;;
ILZ;01.09.1893 00:00;;;;;;;;;;;;;;;;;;102;;;;;;;;;;;
ILZ;01.10.1893 00:00;;;;;;;;;;;;;;;;;;45.4;;;;;;;;;;;
ILZ;01.11.1893 00:00;;;;;;;;;;;;;;;;;;59.9;;;;;;;;;;;
ILZ;01.12.1893 00:00;;;;;;;;;;;;;;;;;;29.2;;;;;;;;;;;
ILZ;01.01.1894 00:00;;;;;;;;;;;;;;;;;;14.5;;;;;;;;;;;
ILZ;01.02.1894 00:00;;;;;;;;;;;;;;;;;;73;;;;;;;;;;;
ILZ;01.03.1894 00:00;;;;;;;;;;;;;;;;;;41.9;;;;;;;;;;;
ILZ;01.04.1894 00:00;;;;;;;;;;;;;;;;;;48;;;;;;;;;;;
ILZ;01.05.1894 00:00;;;;;;;;;;;;;;;;;;74.1;;;;;;;;;;;
ILZ;01.06.1894 00:00;;;;;;;;;;;;;;;;;;57.3;;;;;;;;;;;
ILZ;01.07.1894 00:00;;;;;;;;;;;;;;;;;;151.3;;;;;;;;;;;
ILZ;01.08.1894 00:00;;;;;;;;;;;;;;;;;;121.7;;;;;;;;;;;
ILZ;01.09.1894 00:00;;;;;;;;;;;;;;;;;;129.5;;;;;;;;;;;
ILZ;01.10.1894 00:00;;;;;;;;;;;;;;;;;;39.1;;;;;;;;;;;
ILZ;01.11.1894 00:00;;;;;;;;;;;;;;;;;;27.5;;;;;;;;;;;
ILZ;01.12.1894 00:00;;;;;;;;;;;;;;;;;;42.9;;;;;;;;;;;
ILZ;01.01.1895 00:00;;;;;;;;;;;;;;;;;;115.3;;;;;;;;;;;
ILZ;01.02.1895 00:00;;;;;;;;;;;;;;;;;;4.3;;;;;;;;;;;
ILZ;01.03.1895 00:00;;;;;;;;;;;;;;;;;;58.1;;;;;;;;;;;
ILZ;01.04.1895 00:00;;;;;;;;;;;;;;;;;;28.8;;;;;;;;;;;
ILZ;01.05.1895 00:00;;;;;;;;;;;;;;;;;;93.2;;;;;;;;;;;
ILZ;01.06.1895 00:00;;;;;;;;;;;;;;;;;;50.4;;;;;;;;;;;
ILZ;01.07.1895 00:00;;;;;;;;;;;;;;;;;;62.6;;;;;;;;;;;
ILZ;01.08.1895 00:00;;;;;;;;;;;;;;;;;;107.3;;;;;;;;;;;
ILZ;01.09.1895 00:00;;;;;;;;;;;;;;;;;;7.6;;;;;;;;;;;
ILZ;01.10.1895 00:00;;;;;;;;;;;;;;;;;;59.4;;;;;;;;;;;
ILZ;01.11.1895 00:00;;;;;;;;;;;;;;;;;;27.8;;;;;;;;;;;
ILZ;01.12.1895 00:00;;;;;;;;;;;;;;;;;;140.3;;;;;;;;;;;
ILZ;01.01.1896 00:00;;;;;;;;;;;;;;;;;;40.2;;;;;;;;;;;
ILZ;01.02.1896 00:00;;;;;;;;;;;;;;;;;;37.2;;;;;;;;;;;
ILZ;01.03.1896 00:00;;;;;;;;;;;;;;;;;;195.4;;;;;;;;;;;
ILZ;01.04.1896 00:00;;;;;;;;;;;;;;;;;;95.5;;;;;;;;;;;
ILZ;01.05.1896 00:00;;;;;;;;;;;;;;;;;;32.6;;;;;;;;;;;
ILZ;01.06.1896 00:00;;;;;;;;;;;;;;;;;;66.2;;;;;;;;;;;
ILZ;01.07.1896 00:00;;;;;;;;;;;;;;;;;;114.3;;;;;;;;;;;
ILZ;01.08.1896 00:00;;;;;;;;;;;;;;;;;;86.6;;;;;;;;;;;
ILZ;01.09.1896 00:00;;;;;;;;;;;;;;;;;;151.3;;;;;;;;;;;
ILZ;01.10.1896 00:00;;;;;;;;;;;;;;;;;;271;;;;;;;;;;;
ILZ;01.11.1896 00:00;;;;;;;;;;;;;;;;;;57.5;;;;;;;;;;;
ILZ;01.12.1896 00:00;;;;;;;;;;;;;;;;;;37.7;;;;;;;;;;;
ILZ;01.01.1897 00:00;;;;;;;;;;;;;;;;;;24.2;;;;;;;;;;;
ILZ;01.02.1897 00:00;;;;;;;;;;;;;;;;;;117;;;;;;;;;;;
ILZ;01.03.1897 00:00;;;;;;;;;;;;;;;;;;65.3;;;;;;;;;;;
ILZ;01.04.1897 00:00;;;;;;;;;;;;;;;;;;37.1;;;;;;;;;;;
ILZ;01.05.1897 00:00;;;;;;;;;;;;;;;;;;72.2;;;;;;;;;;;
ILZ;01.06.1897 00:00;;;;;;;;;;;;;;;;;;49;;;;;;;;;;;
ILZ;01.07.1897 00:00;;;;;;;;;;;;;;;;;;89.8;;;;;;;;;;;
ILZ;01.08.1897 00:00;;;;;;;;;;;;;;;;;;234.5;;;;;;;;;;;
ILZ;01.09.1897 00:00;;;;;;;;;;;;;;;;;;207.2;;;;;;;;;;;
ILZ;01.10.1897 00:00;;;;;;;;;;;;;;;;;;7.7;;;;;;;;;;;
ILZ;01.11.1897 00:00;;;;;;;;;;;;;;;;;;24.3;;;;;;;;;;;
ILZ;01.12.1897 00:00;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;
ILZ;01.01.1898 00:00;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;
ILZ;01.02.1898 00:00;;;;;;;;;;;;;;;;;;152.6;;;;;;;;;;;
ILZ;01.03.1898 00:00;;;;;;;;;;;;;;;;;;51.4;;;;;;;;;;;
ILZ;01.04.1898 00:00;;;;;;;;;;;;;;;;;;46.1;;;;;;;;;;;
ILZ;01.05.1898 00:00;;;;;;;;;;;;;;;;;;147.1;;;;;;;;;;;
ILZ;01.06.1898 00:00;;;;;;;;;;;;;;;;;;142.5;;;;;;;;;;;
ILZ;01.07.1898 00:00;;;;;;;;;;;;;;;;;;51.8;;;;;;;;;;;
ILZ;01.08.1898 00:00;;;;;;;;;;;;;;;;;;94.6;;;;;;;;;;;
ILZ;01.09.1898 00:00;;;;;;;;;;;;;;;;;;6.7;;;;;;;;;;;
ILZ;01.10.1898 00:00;;;;;;;;;;;;;;;;;;80.4;;;;;;;;;;;
ILZ;01.11.1898 00:00;;;;;;;;;;;;;;;;;;146.3;;;;;;;;;;;
ILZ;01.12.1898 00:00;;;;;;;;;;;;;;;;;;24.4;;;;;;;;;;;
ILZ;01.01.1899 00:00;;;;;;;;;;;;;;;;;;205.4;;;;;;;;;;;
ILZ;01.02.1899 00:00;;;;;;;;;;;;;;;;;;4.1;;;;;;;;;;;
ILZ;01.03.1899 00:00;;;;;;;;;;;;;;;;;;42.6;;;;;;;;;;;
ILZ;01.04.1899 00:00;;;;;;;;;;;;;;;;;;108;;;;;;;;;;;
ILZ;01.05.1899 00:00;;;;;;;;;;;;;;;;;;80.8;;;;;;;;;;;
ILZ;01.06.1899 00:00;;;;;;;;;;;;;;;;;;37.4;;;;;;;;;;;
ILZ;01.07.1899 00:00;;;;;;;;;;;;;;;;;;33.2;;;;;;;;;;;
ILZ;01.08.1899 00:00;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;
ILZ;01.09.1899 00:00;;;;;;;;;;;;;;;;;;114.1;;;;;;;;;;;
ILZ;01.10.1899 00:00;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;
ILZ;01.11.1899 00:00;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;
ILZ;01.12.1899 00:00;;;;;;;;;;;;;;;;;;57.1;;;;;;;;;;;
ILZ;01.01.1900 00:00;;;;;;;;;;;;;;;;;;86.9;;;;;;;;;;;
ILZ;01.02.1900 00:00;;;;;;;;;;;;;;;;;;93.4;;;;;;;;;;;
ILZ;01.03.1900 00:00;;;;;;;;;;;;;;;;;;31.3;;;;;;;;;;;
ILZ;01.04.1900 00:00;;;;;;;;;;;;;;;;;;55.8;;;;;;;;;;;
ILZ;01.05.1900 00:00;;;;;;;;;;;;;;;;;;98.4;;;;;;;;;;;
ILZ;01.06.1900 00:00;;;;;;;;;;;;;;;;;;32.2;;;;;;;;;;;
ILZ;01.07.1900 00:00;;;;;;;;;;;;;;;;;;108.9;;;;;;;;;;;
ILZ;01.08.1900 00:00;;;;;;;;;;;;;;;;;;185.6;;;;;;;;;;;
ILZ;01.09.1900 00:00;;;;;;;;;;;;;;;;;;27.1;;;;;;;;;;;
ILZ;01.10.1900 00:00;;;;;;;;;;;;;;;;;;14.5;;;;;;;;;;;
ILZ;01.11.1900 00:00;;;;;;;;;;;;;;;;;;86.5;;;;;;;;;;;
ILZ;01.12.1900 00:00;;;;;;;;;;;;;;;;;;80.7;;;;;;;;;;;
ILZ;01.01.1901 00:00;;;;;;;;;;;;;;;;;;44.8;;;;;;;;;;;
ILZ;01.02.1901 00:00;;;;;;;;;;;;;;;;;;14.2;;;;;;;;;;;
ILZ;01.03.1901 00:00;;;;;;;;;;;;;;;;;;76.2;;;;;;;;;;;
ILZ;01.04.1901 00:00;;;;;;;;;;;;;;;;;;128.8;;;;;;;;;;;
ILZ;01.05.1901 00:00;;;;;;;;;;;;;;;;;;66.6;;;;;;;;;;;
ILZ;01.06.1901 00:00;;;;;;;;;;;;;;;;;;152;;;;;;;;;;;
ILZ;01.07.1901 00:00;;;;;;;;;;;;;;;;;;158.9;;;;;;;;;;;
ILZ;01.08.1901 00:00;;;;;;;;;;;;;;;;;;104.1;;;;;;;;;;;
ILZ;01.09.1901 00:00;;;;;;;;;;;;;;;;;;95.7;;;;;;;;;;;
ILZ;01.10.1901 00:00;;;;;;;;;;;;;;;;;;67.8;;;;;;;;;;;
ILZ;01.11.1901 00:00;;;;;;;;;;;;;;;;;;20.3;;;;;;;;;;;
ILZ;01.12.1901 00:00;;;;;;;;;;;;;;;;;;78.6;;;;;;;;;;;
ILZ;01.01.1902 00:00;;;;;;;;;;;;;;;;;;52;;;;;;;;;;;
ILZ;01.02.1902 00:00;;;;;;;;;;;;;;;;;;23.7;;;;;;;;;;;
ILZ;01.03.1902 00:00;;;;;;;;;;;;;;;;;;162.9;;;;;;;;;;;
ILZ;01.04.1902 00:00;;;;;;;;;;;;;;;;;;28.3;;;;;;;;;;;
ILZ;01.05.1902 00:00;;;;;;;;;;;;;;;;;;79.3;;;;;;;;;;;
ILZ;01.06.1902 00:00;;;;;;;;;;;;;;;;;;70.2;;;;;;;;;;;
ILZ;01.07.1902 00:00;;;;;;;;;;;;;;;;;;73.1;;;;;;;;;;;
ILZ;01.08.1902 00:00;;;;;;;;;;;;;;;;;;100.1;;;;;;;;;;;
ILZ;01.09.1902 00:00;;;;;;;;;;;;;;;;;;110.4;;;;;;;;;;;
ILZ;01.10.1902 00:00;;;;;;;;;;;;;;;;;;85.8;;;;;;;;;;;
ILZ;01.11.1902 00:00;;;;;;;;;;;;;;;;;;5.2;;;;;;;;;;;
ILZ;01.12.1902 00:00;;;;;;;;;;;;;;;;;;115.6;;;;;;;;;;;
ILZ;01.01.1903 00:00;;;;;;;;;;;;;;;;;;41.3;;;;;;;;;;;
ILZ;01.02.1903 00:00;;;;;;;;;;;;;;;;;;24.7;;;;;;;;;;;
ILZ;01.03.1903 00:00;;;;;;;;;;;;;;;;;;51.5;;;;;;;;;;;
ILZ;01.04.1903 00:00;;;;;;;;;;;;;;;;;;76.2;;;;;;;;;;;
ILZ;01.05.1903 00:00;;;;;;;;;;;;;;;;;;106.8;;;;;;;;;;;
ILZ;01.06.1903 00:00;;;;;;;;;;;;;;;;;;62.2;;;;;;;;;;;
ILZ;01.07.1903 00:00;;;;;;;;;;;;;;;;;;93.4;;;;;;;;;;;
ILZ;01.08.1903 00:00;;;;;;;;;;;;;;;;;;118.8;;;;;;;;;;;
ILZ;01.09.1903 00:00;;;;;;;;;;;;;;;;;;63.6;;;;;;;;;;;
ILZ;01.10.1903 00:00;;;;;;;;;;;;;;;;;;101.3;;;;;;;;;;;
ILZ;01.11.1903 00:00;;;;;;;;;;;;;;;;;;96.2;;;;;;;;;;;
ILZ;01.12.1903 00:00;;;;;;;;;;;;;;;;;;58.3;;;;;;;;;;;
ILZ;01.01.1904 00:00;;;;;;;;;;;;;;;;;;10.2;;;;;;;;;;;
ILZ;01.02.1904 00:00;;;;;;;;;;;;;;;;;;81.8;;;;;;;;;;;
ILZ;01.03.1904 00:00;;;;;;;;;;;;;;;;;;48.8;;;;;;;;;;;
ILZ;01.04.1904 00:00;;;;;;;;;;;;;;;;;;66.8;;;;;;;;;;;
ILZ;01.05.1904 00:00;;;;;;;;;;;;;;;;;;146.2;;;;;;;;;;;
ILZ;01.06.1904 00:00;;;;;;;;;;;;;;;;;;68.9;;;;;;;;;;;
ILZ;01.07.1904 00:00;;;;;;;;;;;;;;;;;;34.6;;;;;;;;;;;
ILZ;01.08.1904 00:00;;;;;;;;;;;;;;;;;;48;;;;;;;;;;;
ILZ;01.09.1904 00:00;;;;;;;;;;;;;;;;;;72.4;;;;;;;;;;;
ILZ;01.10.1904 00:00;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;
ILZ;01.11.1904 00:00;;;;;;;;;;;;;;;;;;54.2;;;;;;;;;;;
ILZ;01.12.1904 00:00;;;;;;;;;;;;;;;;;;41.9;;;;;;;;;;;
ILZ;01.01.1905 00:00;;;;;;;;;;;;;;;;;;43.7;;;;;;;;;;;
ILZ;01.02.1905 00:00;;;;;;;;;;;;;;;;;;19.9;;;;;;;;;;;
ILZ;01.03.1905 00:00;;;;;;;;;;;;;;;;;;75.9;;;;;;;;;;;
ILZ;01.04.1905 00:00;;;;;;;;;;;;;;;;;;97.6;;;;;;;;;;;
ILZ;01.05.1905 00:00;;;;;;;;;;;;;;;;;;89.4;;;;;;;;;;;
ILZ;01.06.1905 00:00;;;;;;;;;;;;;;;;;;45.7;;;;;;;;;;;
ILZ;01.07.1905 00:00;;;;;;;;;;;;;;;;;;59.7;;;;;;;;;;;
ILZ;01.08.1905 00:00;;;;;;;;;;;;;;;;;;188.9;;;;;;;;;;;
ILZ;01.09.1905 00:00;;;;;;;;;;;;;;;;;;99.4;;;;;;;;;;;
ILZ;01.10.1905 00:00;;;;;;;;;;;;;;;;;;58.8;;;;;;;;;;;
ILZ;01.11.1905 00:00;;;;;;;;;;;;;;;;;;89.8;;;;;;;;;;;
ILZ;01.12.1905 00:00;;;;;;;;;;;;;;;;;;33.6;;;;;;;;;;;
ILZ;01.01.1906 00:00;;;;;;;;;;;;;;;;;;64.1;;;;;;;;;;;
ILZ;01.02.1906 00:00;;;;;;;;;;;;;;;;;;68.9;;;;;;;;;;;
ILZ;01.03.1906 00:00;;;;;;;;;;;;;;;;;;69.4;;;;;;;;;;;
ILZ;01.04.1906 00:00;;;;;;;;;;;;;;;;;;44.1;;;;;;;;;;;
ILZ;01.05.1906 00:00;;;;;;;;;;;;;;;;;;107.6;;;;;;;;;;;
ILZ;01.06.1906 00:00;;;;;;;;;;;;;;;;;;33.2;;;;;;;;;;;
ILZ;01.07.1906 00:00;;;;;;;;;;;;;;;;;;178.3;;;;;;;;;;;
ILZ;01.08.1906 00:00;;;;;;;;;;;;;;;;;;54.5;;;;;;;;;;;
ILZ;01.09.1906 00:00;;;;;;;;;;;;;;;;;;38.5;;;;;;;;;;;
ILZ;01.10.1906 00:00;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;
ILZ;01.11.1906 00:00;;;;;;;;;;;;;;;;;;154.8;;;;;;;;;;;
ILZ;01.12.1906 00:00;;;;;;;;;;;;;;;;;;81.3;;;;;;;;;;;
ILZ;01.01.1907 00:00;;;;;;;;;;;;;;;;;;73.3;;;;;;;;;;;
ILZ;01.02.1907 00:00;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;
ILZ;01.03.1907 00:00;;;;;;;;;;;;;;;;;;112.6;;;;;;;;;;;
ILZ;01.04.1907 00:00;;;;;;;;;;;;;;;;;;51.1;;;;;;;;;;;
ILZ;01.05.1907 00:00;;;;;;;;;;;;;;;;;;67.6;;;;;;;;;;;
ILZ;01.06.1907 00:00;;;;;;;;;;;;;;;;;;118.2;;;;;;;;;;;
ILZ;01.07.1907 00:00;;;;;;;;;;;;;;;;;;97.9;;;;;;;;;;;
ILZ;01.08.1907 00:00;;;;;;;;;;;;;;;;;;92.8;;;;;;;;;;;
ILZ;01.09.1907 00:00;;;;;;;;;;;;;;;;;;44.3;;;;;;;;;;;
ILZ;01.10.1907 00:00;;;;;;;;;;;;;;;;;;129.1;;;;;;;;;;;
ILZ;01.11.1907 00:00;;;;;;;;;;;;;;;;;;19.1;;;;;;;;;;;
ILZ;01.12.1907 00:00;;;;;;;;;;;;;;;;;;78.8;;;;;;;;;;;
ILZ;01.01.1908 00:00;;;;;;;;;;;;;;;;;;21.5;;;;;;;;;;;
ILZ;01.02.1908 00:00;;;;;;;;;;;;;;;;;;121.4;;;;;;;;;;;
ILZ;01.03.1908 00:00;;;;;;;;;;;;;;;;;;48.5;;;;;;;;;;;
ILZ;01.04.1908 00:00;;;;;;;;;;;;;;;;;;63.8;;;;;;;;;;;
ILZ;01.05.1908 00:00;;;;;;;;;;;;;;;;;;121.7;;;;;;;;;;;
ILZ;01.06.1908 00:00;;;;;;;;;;;;;;;;;;51;;;;;;;;;;;
ILZ;01.07.1908 00:00;;;;;;;;;;;;;;;;;;103.5;;;;;;;;;;;
ILZ;01.08.1908 00:00;;;;;;;;;;;;;;;;;;148.7;;;;;;;;;;;
ILZ;01.09.1908 00:00;;;;;;;;;;;;;;;;;;128.8;;;;;;;;;;;
ILZ;01.10.1908 00:00;;;;;;;;;;;;;;;;;;11.9;;;;;;;;;;;
ILZ;01.11.1908 00:00;;;;;;;;;;;;;;;;;;61.9;;;;;;;;;;;
ILZ;01.12.1908 00:00;;;;;;;;;;;;;;;;;;22.8;;;;;;;;;;;
ILZ;01.01.1909 00:00;;;;;;;;;;;;;;;;;;36.9;;;;;;;;;;;
ILZ;01.02.1909 00:00;;;;;;;;;;;;;;;;;;39.9;;;;;;;;;;;
ILZ;01.03.1909 00:00;;;;;;;;;;;;;;;;;;26.4;;;;;;;;;;;
ILZ;01.04.1909 00:00;;;;;;;;;;;;;;;;;;85.5;;;;;;;;;;;
ILZ;01.05.1909 00:00;;;;;;;;;;;;;;;;;;69;;;;;;;;;;;
ILZ;01.06.1909 00:00;;;;;;;;;;;;;;;;;;154.7;;;;;;;;;;;
ILZ;01.07.1909 00:00;;;;;;;;;;;;;;;;;;105.4;;;;;;;;;;;
ILZ;01.08.1909 00:00;;;;;;;;;;;;;;;;;;166.9;;;;;;;;;;;
ILZ;01.09.1909 00:00;;;;;;;;;;;;;;;;;;48.9;;;;;;;;;;;
ILZ;01.10.1909 00:00;;;;;;;;;;;;;;;;;;86.7;;;;;;;;;;;
ILZ;01.11.1909 00:00;;;;;;;;;;;;;;;;;;59.6;;;;;;;;;;;
ILZ;01.12.1909 00:00;;;;;;;;;;;;;;;;;;77.7;;;;;;;;;;;
ILZ;01.01.1910 00:00;;;;;;;;;;;;;;;;;;172.9;;;;;;;;;;;
ILZ;01.02.1910 00:00;;;;;;;;;;;;;;;;;;52.6;;;;;;;;;;;
ILZ;01.03.1910 00:00;;;;;;;;;;;;;;;;;;21.4;;;;;;;;;;;
ILZ;01.04.1910 00:00;;;;;;;;;;;;;;;;;;84.7;;;;;;;;;;;
ILZ;01.05.1910 00:00;;;;;;;;;;;;;;;;;;58.1;;;;;;;;;;;
ILZ;01.06.1910 00:00;;;;;;;;;;;;;;;;;;152;;;;;;;;;;;
ILZ;01.07.1910 00:00;;;;;;;;;;;;;;;;;;128.4;;;;;;;;;;;
ILZ;01.08.1910 00:00;;;;;;;;;;;;;;;;;;125.6;;;;;;;;;;;
ILZ;01.09.1910 00:00;;;;;;;;;;;;;;;;;;64.5;;;;;;;;;;;
ILZ;01.10.1910 00:00;;;;;;;;;;;;;;;;;;55.9;;;;;;;;;;;
ILZ;01.11.1910 00:00;;;;;;;;;;;;;;;;;;112;;;;;;;;;;;
ILZ;01.12.1910 00:00;;;;;;;;;;;;;;;;;;83.4;;;;;;;;;;;
ILZ;01.01.1911 00:00;;;;;;;;;;;;;;;;;;4.6;;;;;;;;;;;
ILZ;01.02.1911 00:00;;;;;;;;;;;;;;;;;;60.8;;;;;;;;;;;
ILZ;01.03.1911 00:00;;;;;;;;;;;;;;;;;;66.1;;;;;;;;;;;
ILZ;01.04.1911 00:00;;;;;;;;;;;;;;;;;;43.7;;;;;;;;;;;
ILZ;01.05.1911 00:00;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;
ILZ;01.06.1911 00:00;;;;;;;;;;;;;;;;;;124.1;;;;;;;;;;;
ILZ;01.07.1911 00:00;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;
ILZ;01.08.1911 00:00;;;;;;;;;;;;;;;;;;98.9;;;;;;;;;;;
ILZ;01.09.1911 00:00;;;;;;;;;;;;;;;;;;138.7;;;;;;;;;;;
ILZ;01.10.1911 00:00;;;;;;;;;;;;;;;;;;157.3;;;;;;;;;;;
ILZ;01.11.1911 00:00;;;;;;;;;;;;;;;;;;86.5;;;;;;;;;;;
ILZ;01.12.1911 00:00;;;;;;;;;;;;;;;;;;107.4;;;;;;;;;;;
ILZ;01.01.1912 00:00;;;;;;;;;;;;;;;;;;59.2;;;;;;;;;;;
ILZ;01.02.1912 00:00;;;;;;;;;;;;;;;;;;27.2;;;;;;;;;;;
ILZ;01.03.1912 00:00;;;;;;;;;;;;;;;;;;83.8;;;;;;;;;;;
