Station;Abr.;Hauteur de mesure m s. mer;Latitude;Longitude;Canton
Aadorf / Tänikon;TAE;541;47.479864;8.904894;TG
Acquarossa / Comprovasco;COM;594;46.458958;8.935408;TI
Adelboden;ABO;1348;46.492186;7.560472;BE
Aigle;AIG;383;46.326642;6.924442;VD
Altdorf;ALT;440;46.887042;8.621833;UR
Altenrhein;ARH;400;47.483669;9.566803;SG
Andeer;AND;989;46.610114;9.431936;GR
Andermatt;ANT;1437;46.630858;8.580578;UR
Arosa;ARO;1880;46.792594;9.679050;GR
Bad Ragaz;RAG;498;47.016578;9.502553;SG
Bantiger;BAN;1097;46.977806;7.528667;BE
Basel / Binningen;BAS;320;47.541094;7.583575;BL
Bergün / Latsch;LAT;1410;46.627275;9.753706;GR
Bern / Zollikofen;BER;555;46.990742;7.464028;BE
Beznau;BEZ;328;47.557231;8.233258;AG
Biasca;BIA;280;46.336053;8.978197;TI
Bischofszell / Sitterdorf;BIZ;507;47.508797;9.266892;TG
Bière;BIE;686;46.524892;6.342392;VD
Blatten, Lötschental;BLA;1540;46.420369;7.823219;VS
Boltigen;BOL;822;46.623519;7.384206;BE
Buchs / Aarau;BUS;389;47.384336;8.079492;AG
Buffalora;BUF;1970;46.648136;10.267197;GR
Bullet / La Frétaz;FRE;1207;46.840622;6.576314;VD
Cevio;CEV;425;46.320486;8.603161;TI
Cham;CHZ;445;47.188278;8.464642;ZG
Chasseral;CHA;1596;47.131736;7.054319;BE
Chaumont;CHM;1138;47.049169;6.978825;NE
Chur;CHU;564;46.870472;9.529650;GR
Château-d'Oex;CHD;1031;46.479764;7.139650;VD
Cimetta;CIM;1663;46.200431;8.791628;TI
Col du Grand St-Bernard;GSB;2492;45.869075;7.170653;VS
Crap Masegn;CMA;2489;46.842244;9.180208;GR
Davos;DAV;1596;46.812956;9.843519;GR
Delémont;DEM;441;47.351706;7.349561;JU
Disentis;DIS;1199;46.706531;8.853456;GR
Ebnat-Kappel;EBK;625;47.273339;9.108489;SG
Eggishorn;EGH;2895;46.426528;8.092728;VS
Einsiedeln;EIN;912;47.132986;8.756561;SZ
Elm;ELM;960;46.923747;9.175350;GL
Engelberg;ENG;1037;46.821614;8.410478;OW
Evionnaz;EVI;484;46.182953;7.026747;VS
Evolène / Villa;EVO;1828;46.112122;7.508667;VS
Fahy;FAH;598;47.423814;6.941158;JU
Fribourg / Grangeneuve;GRA;653;46.771397;7.113708;FR
Frutigen;FRU;758;46.599003;7.657542;BE
Genève / Cointrin;GVE;424;46.247800;6.128200;GE
Giswil;GIH;473;46.849447;8.190225;OW
Glarus;GLA;519;47.034583;9.066928;GL
Gornergrat;GOR;3133;45.983644;7.785944;VS
Grenchen;GRE;430;47.179089;7.415108;SO
Grimsel Hospiz;GRH;1988;46.571689;8.333256;BE
Grono;GRO;326;46.254986;9.163728;GR
Grächen;GRC;1607;46.195306;7.836789;VS
Gösgen;GOE;382;47.363106;7.973706;SO
Gütsch, Andermatt;GUE;2288;46.652475;8.615531;UR
Güttingen;GUT;442;47.601706;9.279389;TG
Hallau;HLL;421;47.697275;8.470472;SH
Hörnli;HOE;1145;47.370872;8.941478;ZH
Ilanz;ILZ;700;46.775039;9.215353;GR
Interlaken;INT;580;46.672025;7.870378;BE
Jungfraujoch;JUN;3581;46.547486;7.984900;VS
Koppigen;KOP;486;47.118847;7.605492;BE
La Brévine;BRL;1052;46.983844;6.610297;NE
La Chaux-de-Fonds;CDF;1019;47.082944;6.792278;NE
La Dôle;DOL;1671;46.424772;6.099525;VD
Langnau i.E.;LAG;747;46.939625;7.806442;BE
Le Moléson;MLS;1976;46.546158;7.017808;FR
Leibstadt;LEI;343;47.597261;8.188281;AG
Les Attelas;ATT;2744;46.099111;7.268653;VS
Locarno / Monti;OTL;387;46.172489;8.787417;TI
Lugano;LUG;302;46.004211;8.960331;TI
Luzern;LUZ;488;47.035214;8.300019;LU
Lägern;LAE;873;47.481933;8.397222;ZH
Magadino / Cadenazzo;MAG;205;46.160019;8.933636;TI
Mathod;MAH;439;46.736978;6.567983;VD
Matro;MTR;2190;46.410103;8.924742;TI
Meiringen;MER;591;46.732169;8.169261;BE
Montana;MVE;1426;46.298825;7.460775;VS
Monte Generoso;GEN;1602;45.927592;9.017875;TI
Mosen;MOA;454;47.243800;8.232789;LU
Mottec;MTE;1582;46.147953;7.624019;VS
Möhlin;MOE;346;47.572197;7.877911;AG
Mühleberg;MUB;482;46.973247;7.278172;BE
Naluns / Schlivera;NAS;2382;46.817164;10.261400;GR
Napf;NAP;1406;47.004642;7.940081;BE
Neuchâtel;NEU;502;47.000069;6.953294;NE
Nyon / Changins;CGI;460;46.401050;6.227686;VD
Oron;ORO;829;46.572264;6.858239;VD
Passo del Bernina;BEH;2272;46.409158;10.019567;GR
Payerne;PAY;491;46.811578;6.942436;VD
Pfäffikon, ZH;PFA;539;47.376817;8.754864;ZH
Pilatus;PIL;2107;46.978872;8.252303;OW
Piotta;PIO;991;46.514775;8.688139;TI
Piz Corvatsch;COV;3315;46.418031;9.821319;GR
Piz Martegnas;PMA;2670;46.577181;9.529544;GR
Plaffeien;PLF;1044;46.747694;7.266269;FR
Poschiavo / Robbia;ROB;1080;46.347192;10.062994;GR
Pully;PUY;457;46.512278;6.667481;VD
Robièi;ROE;1904;46.443067;8.513389;TI
Rünenberg;RUE;613;47.434556;7.879342;BL
S. Bernardino;SBE;1641;46.463539;9.184664;GR
Salen-Reutenen;HAI;720;47.651236;9.023911;TG
Samedan;SAM;1711;46.526244;9.879436;GR
Schaffhausen;SHA;441;47.689803;8.620053;SH
Scuol;SCU;1306;46.793272;10.283233;GR
Segl-Maria;SIA;1806;46.432331;9.762325;GR
Simplon-Dorf;SIM;1467;46.196825;8.056336;VS
Sion;SIO;484;46.218644;7.330169;VS
St. Chrischona;STC;725;47.571767;7.687094;BS
St. Gallen;STG;793;47.424317;9.396739;SG
Sta. Maria, Val Müstair;SMM;1388;46.602200;10.426303;GR
Stabio;SBO;353;45.843406;8.932439;TI
Säntis;SAE;2509;47.249386;9.343272;AI
Thun;THU;572;46.749797;7.585222;BE
Titlis;TIT;3106;46.770558;8.425969;OW
Uetliberg;UEB;1016;47.351364;8.490225;ZH
Ulrichen;ULR;1348;46.504853;8.308175;VS
Vaduz;VAD;459;47.127447;9.517506;FL
Valbella;VAB;1571;46.755033;9.554433;GR
Vals;VLS;1244;46.627758;9.188711;GR
Vevey / Corseaux;VEV;407;46.471292;6.815094;VD
Vicosoprano;VIO;1091;46.353019;9.627800;GR
Visp;VIS;641;46.302875;7.842914;VS
Weissfluhjoch;WFJ;2694;46.833325;9.806414;GR
Wynau;WYN;424;47.255019;7.787431;BE
Wädenswil;WAE;499;47.221794;8.676972;ZH
Würenlingen / PSI;PSI;404;47.538947;8.228358;AG
Zermatt;ZER;1641;46.029261;7.752417;VS
Zürich / Affoltern;REH;445;47.427669;8.517919;ZH
Zürich / Fluntern;SMA;579;47.378206;8.565675;ZH
Zürich / Kloten;KLO;428;47.479583;8.535892;ZH
